GBP category,GBP service name,Description (<300 chars),Landing page
Lighting Contractor Services,Lighting installation,"Good lighting changes how a room looks and how it works. We install and repair every kind of lighting in Yardley-area homes and small businesses, from recessed lights and chandeliers to under-cabinet, landscape and security lighting, with clean wiring and a finished look.",https://www.joehuckelectric.com/lighting-contractor-services/
Electrician,Electrical panel upgrade,"Replace an outdated or overloaded electrical panel with a modern 200-amp service. We handle the permit, the PECO disconnect and reconnect, the inspection, and label every circuit when we're done.",https://www.joehuckelectric.com/electrician-services/electrical-panel-upgrade/
Electrician,Electrical subpanel installation,"Add circuits where you need them with a subpanel for a garage, basement, addition or workshop. We check your service capacity first, size the feeder properly and handle the permit and inspection.",https://www.joehuckelectric.com/electrician-services/electrical-subpanel-installation/
Electrician,Fuse box replacement,"Replace an old fuse box with a modern circuit breaker panel, or get a blown fuse changed safely. We make sure every fuse is the right size for its wire and upgrade the service when it's due.",https://www.joehuckelectric.com/electrician-services/fuse-box-replacement/
Electrician,Electrical fuse changing,"Replace an old fuse box with a modern circuit breaker panel, or get a blown fuse changed safely. We make sure every fuse is the right size for its wire and upgrade the service when it's due.",https://www.joehuckelectric.com/electrician-services/fuse-box-replacement/
Electrician,Circuit breaker replacement,"Breakers that trip for no reason, feel hot or won't reset get diagnosed and replaced with the correct breaker for your panel. We find out why it failed before we swap it, so the problem doesn't come back.",https://www.joehuckelectric.com/electrician-services/circuit-breaker-replacement/
Electrician,AFCI breaker installation,"Arc-fault (AFCI) breakers detect the kind of sparking that starts electrical fires inside walls. We install them where code requires, add them during remodels, and track down the cause when one keeps tripping.",https://www.joehuckelectric.com/electrician-services/afci-breaker-installation/
Electrician,Home rewiring,"Replace knob-and-tube, cloth-insulated or ungrounded wiring in older homes, room by room or all at once. We fish new cable through existing walls wherever we can, so you get new wiring with as little patching as possible.",https://www.joehuckelectric.com/electrician-services/home-rewiring/
Electrician,Aluminum wiring replacement,"Homes wired with single-strand aluminum in the 1960s and 70s can overheat at outlets and switches. We make every connection safe with approved copper pigtail connectors, or replace the aluminum wiring entirely.",https://www.joehuckelectric.com/electrician-services/aluminum-wiring-replacement/
Electrician,Electric car charger installation,"Level 2 home EV charger installation by a Tesla-certified installer. We check your panel's capacity, run the circuit to your garage or driveway, and install and test chargers for Tesla, Rivian, Ford, Kia and other brands.",https://www.joehuckelectric.com/electrician-services/ev-charger-installation/
Electrician,Whole house surge protection,"A surge protector installed at your electrical panel protects everything in the house, from the furnace and fridge to TVs and computers, against surges from lightning, the utility and your own large appliances.",https://www.joehuckelectric.com/electrician-services/whole-house-surge-protection/
Electrician,Home electrical upgrades,"Bring an older home's electrical system up to how you live now: grounded three-prong outlets, more circuits, USB and GFCI outlets, better lighting and the capacity for modern appliances.",https://www.joehuckelectric.com/electrician-services/home-electrical-upgrades/
Electrician,Kitchen electrical upgrade,"Wiring for kitchen remodels and updates: countertop circuits, GFCI outlets, island power, dedicated appliance circuits, induction and electric ranges, recessed and under-cabinet lighting.",https://www.joehuckelectric.com/electrician-services/kitchen-electrical-upgrade/
Electrician,General electrical repair,"Dead outlets, tripping breakers, flickering lights, buzzing switches and half-working circuits, tracked down methodically and fixed properly. We find the cause instead of guessing, and explain what we found.",https://www.joehuckelectric.com/electrician-services/electrical-repair-troubleshooting/
